"trial_type","trial_index","plugin_version","time_elapsed","participant","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"html-keyboard-response","12","2.1.0","251586","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:28.581Z","0","ok","","","","","","video-practice","5995","<div class=""screen-text"">
    <h1>Videos at the casino station</h1>
    <p>As mentioned, from time to time the casino station will play a short video next to the card game (without sound)</p>
    <p>Let's practice four more rounds, this time with a video playing alongside the cards.</p>
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","13","2.1.0","251589","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:28.584Z","0","ok","","","","","","practice_video_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","2.1.0","256727","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:33.722Z","0","ok","","","","","","practice_trial","","","","","","2","1","2","up","1629","false","win","null","null","null","1","1","practice_video","0","5","1","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2.1.0","260880","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:37.875Z","0","ok","","","","","","practice_trial","","","","","","4","2","4","up","647","false","loss","null","null","null","-1","0","practice_video","0","6","2","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","2.1.0","266024","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:43.019Z","0","ok","","","","","","practice_trial","","","","","","2","4","4","down","1637","false","loss","null","null","null","-1","-1","practice_video","0","7","3","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","2.1.0","270405","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:47.400Z","0","ok","","","","","","practice_trial","","","","","","3","1","3","up","875","false","win","null","null","null","1","0","practice_video","0","8","4","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"call-function","18","2.1.0","270406","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:47.401Z","0","ok","","","","","","practice_video_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","2.1.0","272569","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:49.564Z","0","ok","","","","","","end-practice","2162","<div class=""screen-text"">
    <h1>Practice Complete</h1>
    <p>Good job! You completed the practice.</p>
    <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","20","2.1.0","272569","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:49.564Z","0","ok","","","","","","practice_counter_reset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","2.1.0","290439","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:24:07.434Z","0","ok","","","","","","reminders","17869","<div class=""screen-text"">
  <h1>Reminders</h1>
  <p>Before you begin, here is a quick reminder of the key points from the instructions and tips:</p>
  <ul>
    <li>Each card's chance of winning is independent of the other cards — choose based on each card on its own.</li>
    <li>A card's chance of winning can change over time, so stay focused round to round.</li>
    <li>The location of the cards is random — select only based on the card you see, not its position on the screen.</li>
    <li>You will be able to track your gold coins in real time at the top of the screen.</li>
    <li>Note: your gold coins can go below 0 if you keep losing — there is no floor.</li>
  </ul>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","2.1.0","292344","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:24:09.339Z","0","ok","","","","","","instructions_test","1904","<div class=""screen-text"">
  <p>We will now start a short quiz about the instructions.</p>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","23","2.1.0","392409","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:25:49.404Z","0","ok","","","","","","instructions_test_quiz","100061","","{""quiz_q1"":""4"",""quiz_q2"":""2"",""quiz_q3"":""Press the UP arrow (top card) or DOWN arrow (bottom card)"",""quiz_q4"":""The goal is to earn as many gold coins as I can"",""quiz_q5"":""False - each card's winning chance is independent of the other cards"",""quiz_q6"":""False - a card's winning chance can change as the game goes on, so I should stay focused"",""quiz_q7"":""False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning."",""quiz_q8"":""True - the videos are here to make the task more enjoyable and you can look at them freely"",""quiz_q9"":""It is randomly determined by the dealer each round""}","","","","","","","","","","","","","","","","","","","","","[0,1,2,3,4,5,6,7,8]","1","4","2","Press the UP arrow (top card) or DOWN arrow (bottom card)","The goal is to earn as many gold coins as I can","False - each card's winning chance is independent of the other cards","False - a card's winning chance can change as the game goes on, so I should stay focused","False - you won't win more or less using UP or DOWN. Only the card itself is related to your chances of winning.","True - the videos are here to make the task more enjoyable and you can look at them freely","It is randomly determined by the dealer each round","true","","","","",""
"survey-text","25","2.1.0","584976","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:29:01.971Z","0","ok","","","","","","feedback_instructions","192558","","{""free_text_1"":""To collect as many gold coins as possible across 200 rounds so that I can maximise my bonus"",""free_text_2"":""The specific card chosen by me and its own individual probability (which can change during the game)"",""free_text_3"":""The up key to select the top card and the down key to select the bottom card. These do not influence winnings, it is down to the cards themselves not their position. "",""free_text_4"":""Because there are lots of rounds so it helps to make it more enjoyable""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","To collect as many gold coins as possible across 200 rounds so that I can maximise my bonus","The specific card chosen by me and its own individual probability (which can change during the game)","The up key to select the top card and the down key to select the bottom card. These do not influence winnings, it is down to the cards themselves not their position. ","Because there are lots of rounds so it helps to make it more enjoyable",""
"html-keyboard-response","26","2.1.0","597016","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:29:14.012Z","0","ok","","","","","","start_exp_cards","12040","<div class=""screen-text"">
  <p>We will now move on to the real game.</p>
  <p>You will play 4 events with 50 choice rounds in each event.</p>
  <p>Please note that participants who engage with the task and pay close attention earn a higher bonus than participants who respond randomly.</p>
  <p>Good luck!</p>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","2.1.0","616866","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:29:33.862Z","0","ok","","","","","","start_block","19849","
        <div class=""screen-text"">
          <h1>Event 1 out of 4</h1>
          <p>You will now start an event. In each round, the dealer will offer you 2 of the 4 cards.</p>
          
        <div class=""card-preview-row"">
          <img class=""card-preview-img"" src=""assets/cards task/test/set2/1.png""><img class=""card-preview-img"" src=""assets/cards task/test/set2/2.png""><img class=""card-preview-img"" src=""assets/cards task/test/set2/3.png""><img class=""card-preview-img"" src=""assets/cards task/test/set2/4.png"">
        </div>
          <p>Use the UP or DOWN arrow keys to make your selection. Please do your best to win as many gold coins as possible!</p>
          <p>Remember that only the cards (not their positions) are important when you choose, and that cards can change over time — stay focused.</p>
          <p>This is a video-off round: no video will play — just the card game.</p>
          <p class=""center muted"">Press SPACE to start</p>
        </div>"," ","","","","","","","","","","","","","","","main","1","","","false","","","","","","","","","","","","","","","","","",""
"call-function","28","2.1.0","616867","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:29:33.862Z","0","ok","","","","","","block_video_mount","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","2.1.0","621722","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:29:38.718Z","0","ok","","","","","","main_trial","","","","","","4","1","1","down","1347","false","loss","0.3375","0.6013","0.3375","-1","-1","main","1","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","2.1.0","626139","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:29:43.134Z","0","ok","","","","","","main_trial","","","","","","2","1","2","up","911","false","win","0.4881","0.4881","0.3101","1","0","main","1","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","31","2.1.0","630342","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:29:47.337Z","0","ok","","","","","","main_trial","","","","","","3","4","3","up","696","false","loss","0.3853","0.3853","0.6015","-1","-1","main","1","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","2.1.0","635380","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:29:52.375Z","0","ok","","","","","","main_trial","","","","","","4","1","4","up","1533","false","win","0.6634","0.6634","0.1854","1","0","main","1","4","4","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","33","2.1.0","641856","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:29:58.851Z","0","ok","","","","","","main_trial","","","","","","1","3","3","down","2969","false","win","0.4657","0.1767","0.4657","1","1","main","1","5","5","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","34","2.1.0","646247","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:03.242Z","0","ok","","","","","","main_trial","","","","","","2","3","2","up","885","false","loss","0.4774","0.4774","0.5253","-1","0","main","1","6","6","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","2.1.0","650824","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:07.819Z","0","ok","","","","","","main_trial","","","","","","1","2","2","down","1070","false","loss","0.4164","0.1933","0.4164","-1","-1","main","1","7","7","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","36","2.1.0","655619","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:12.614Z","0","ok","","","","","","main_trial","","","","","","4","3","3","down","1289","false","win","0.5969","0.7857","0.5969","1","0","main","1","8","8","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","37","2.1.0","660176","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:17.171Z","0","ok","","","","","","main_trial","","","","","","3","2","3","up","1051","false","loss","0.5908","0.5908","0.4922","-1","-1","main","1","9","9","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","2.1.0","665557","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:22.552Z","0","ok","","","","","","main_trial","","","","","","4","2","2","down","1875","false","win","0.4542","0.8408","0.4542","1","0","main","1","10","10","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","39","2.1.0","669826","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:26.822Z","0","ok","","","","","","main_trial","","","","","","4","2","2","down","765","false","win","0.4526","0.8159","0.4526","1","1","main","1","11","11","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","40","2.1.0","675974","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:32.969Z","0","ok","","","","","","main_trial","","","","","","4","3","3","down","2642","false","win","0.6529","0.8522","0.6529","1","2","main","1","12","12","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","41","2.1.0","680258","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:37.253Z","0","ok","","","","","","main_trial","","","","","","4","2","2","down","782","false","win","0.6156","0.8888","0.6156","1","3","main","1","13","13","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","42","2.1.0","684391","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:41.386Z","0","ok","","","","","","main_trial","","","","","","3","4","3","up","630","false","win","0.7193","0.7193","0.8176","1","4","main","1","14","14","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","43","2.1.0","689049","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:46.045Z","0","ok","","","","","","main_trial","","","","","","3","2","3","up","1157","false","win","0.6837","0.6837","0.5471","1","5","main","1","15","15","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","44","2.1.0","693852","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:50.847Z","0","ok","","","","","","main_trial","","","","","","2","3","3","down","1300","false","win","0.7066","0.6046","0.7066","1","6","main","1","16","16","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","45","2.1.0","697994","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:54.989Z","0","ok","","","","","","main_trial","","","","","","3","4","3","up","638","false","win","0.6762","0.6762","0.7089","1","7","main","1","17","17","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","46","2.1.0","702259","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:30:59.254Z","0","ok","","","","","","main_trial","","","","","","4","3","3","down","760","false","win","0.7663","0.7014","0.7663","1","8","main","1","18","18","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","47","2.1.0","706933","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:03.928Z","0","ok","","","","","","main_trial","","","","","","4","1","4","up","1170","false","win","0.7747","0.7747","0.1082","1","9","main","1","19","19","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","48","2.1.0","711034","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:08.029Z","0","ok","","","","","","main_trial","","","","","","3","4","3","up","596","false","win","0.6766","0.6766","0.6796","1","10","main","1","20","20","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","49","2.1.0","715410","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:12.405Z","0","ok","","","","","","main_trial","","","","","","4","3","3","down","872","false","loss","0.5482","0.7106","0.5482","-1","9","main","1","21","21","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","50","2.1.0","720133","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:17.128Z","0","ok","","","","","","main_trial","","","","","","4","3","3","down","1217","false","loss","0.5697","0.7462","0.5697","-1","8","main","1","22","22","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","51","2.1.0","725835","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:22.830Z","0","ok","","","","","","main_trial","","","","","","2","3","2","up","2196","false","win","0.6025","0.6025","0.5188","1","9","main","1","23","23","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","52","2.1.0","730254","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:27.249Z","0","ok","","","","","","main_trial","","","","","","4","2","2","down","913","false","win","0.5696","0.7921","0.5696","1","10","main","1","24","24","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","53","2.1.0","735149","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:32.145Z","0","ok","","","","","","main_trial","","","","","","3","1","1","down","1391","false","loss","0.1748","0.5107","0.1748","-1","9","main","1","25","25","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","54","2.1.0","740505","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:37.500Z","0","ok","","","","","","main_trial","","","","","","4","1","4","up","1850","false","win","0.7903","0.7903","0.1225","1","10","main","1","26","26","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","55","2.1.0","745742","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:42.737Z","0","ok","","","","","","main_trial","","","","","","1","2","2","down","1731","false","win","0.5587","0.1581","0.5587","1","11","main","1","27","27","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","56","2.1.0","750218","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:47.213Z","0","ok","","","","","","main_trial","","","","","","1","4","4","down","971","false","win","0.8294","0.155","0.8294","1","12","main","1","28","28","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","57","2.1.0","754579","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:51.574Z","0","ok","","","","","","main_trial","","","","","","3","4","4","down","856","false","win","0.7773","0.5721","0.7773","1","13","main","1","29","29","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","58","2.1.0","759644","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:31:56.640Z","0","ok","","","","","","main_trial","","","","","","3","1","1","down","1560","false","loss","0.2067","0.5714","0.2067","-1","12","main","1","30","30","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","59","2.1.0","763767","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:32:00.762Z","0","ok","","","","","","main_trial","","","","","","3","4","3","up","616","false","win","0.5805","0.5805","0.7034","1","13","main","1","31","31","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","60","2.1.0","767877","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:32:04.872Z","0","ok","","","","","","main_trial","","","","","","3","2","3","up","604","false","loss","0.5642","0.5642","0.6757","-1","12","main","1","32","32","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","61","2.1.0","772079","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:32:09.074Z","0","ok","","","","","","main_trial","","","","","","3","4","4","down","696","false","loss","0.6119","0.5384","0.6119","-1","11","main","1","33","33","false","","","","","","","","","","","","","","","","","",""
